State Code,Area Name,Total/ Rural/Urban,Disability,Age-group,Total disabled population - Persons,Total disabled population - Males,Total disabled population - Females,Main worker - Persons,Main worker - Males,Main worker - Females,Non-worker - Persons,Non-worker - Males,Non-worker - Females
1,State - JAMMU & KASHMIR (01),Total,Mental-Retardation,15-59,11336,6754,4582,1781,1573,208,7841,4111,3730
1,State - JAMMU & KASHMIR (01),Total,Mental-Retardation,60+,1523,841,682,189,169,20,1160,548,612
1,State - JAMMU & KASHMIR (01),Total,Mental-Illness,Total,15669,8810,6859,2181,1948,233,10961,5432,5529
1,State - JAMMU & KASHMIR (01),Total,Mental-Illness,0-14,2247,1272,975,14,9,5,2191,1239,952
1,State - JAMMU & KASHMIR (01),Total,Mental-Illness,15-59,11187,6377,4810,1919,1719,200,7009,3409,3600
1,State - JAMMU & KASHMIR (01),Total,Mental-Illness,60+,2219,1151,1068,247,219,28,1749,777,972
1,State - JAMMU & KASHMIR (01),Total,Any-Other,Total,66957,36852,30105,14449,12833,1616,41101,17567,23534
1,State - JAMMU & KASHMIR (01),Total,Any-Other,0-14,15644,8425,7219,184,118,66,14932,8030,6902
1,State - JAMMU & KASHMIR (01),Total,Any-Other,15-59,40661,22897,17764,12678,11287,1391,18583,6364,12219
1,State - JAMMU & KASHMIR (01),Total,Any-Other,60+,10544,5462,5082,1565,1409,156,7511,3130,4381
1,State - JAMMU & KASHMIR (01),Total,Any-Other,Age not stated,108,68,40,22,19,3,75,43,32
1,State - JAMMU & KASHMIR (01),Total,Multiple-Disability,Total,44441,24478,19963,4069,3651,418,35460,17726,17734
1,State - JAMMU & KASHMIR (01),Total,Multiple-Disability,0-14,8317,4796,3521,51,36,15,8091,4662,3429
1,State - JAMMU & KASHMIR (01),Total,Multiple-Disability,15-59,20713,11977,8736,2992,2701,291,14182,7065,7117
1,State - JAMMU & KASHMIR (01),Total,Multiple-Disability,60+,15385,7697,7688,1023,911,112,13164,5994,7170
1,State - JAMMU & KASHMIR (01),Rural,Total,Total,273952,154892,119060,45454,40896,4558,182583,85570,97013
1,State - JAMMU & KASHMIR (01),Rural,Total,0-14,58663,32623,26040,494,324,170,56478,31389,25089
1,State - JAMMU & KASHMIR (01),Rural,Total,15-59,149317,87155,62162,37444,33770,3674,76522,31891,44631
1,State - JAMMU & KASHMIR (01),Rural,Total,60+,65667,34930,30737,7465,6756,709,49359,22171,27188
1,State - JAMMU & KASHMIR (01),Rural,Total,Age not stated,305,184,121,51,46,5,224,119,105
1,State - JAMMU & KASHMIR (01),Rural,In-Seeing,Total,50142,27019,23123,8124,7281,843,33286,14412,18874
1,State - JAMMU & KASHMIR (01),Rural,In-Seeing,0-14,10502,5720,4782,73,44,29,10027,5442,4585
1,State - JAMMU & KASHMIR (01),Rural,In-Seeing,15-59,23093,12785,10308,6090,5450,640,11035,3807,7228
1,State - JAMMU & KASHMIR (01),Rural,In-Seeing,60+,16496,8482,8014,1953,1779,174,12186,5141,7045
1,State - JAMMU & KASHMIR (01),Rural,In-Hearing,Total,51889,29201,22688,10786,9816,970,31942,13940,18002
1,State - JAMMU & KASHMIR (01),Rural,In-Hearing,0-14,12461,6652,5809,122,91,31,11994,6393,5601
1,State - JAMMU & KASHMIR (01),Rural,In-Hearing,15-59,26655,15664,10991,8876,8117,759,11052,3690,7362
1,State - JAMMU & KASHMIR (01),Rural,In-Hearing,60+,12687,6827,5860,1770,1592,178,8838,3823,5015
1,State - JAMMU & KASHMIR (01),Rural,In-Hearing,Age not stated,86,58,28,18,16,2,58,34,24
1,State - JAMMU & KASHMIR (01),Rural,In-Speech,Total,14872,9096,5776,2535,2301,234,9594,4908,4686
1,State - JAMMU & KASHMIR (01),Rural,In-Speech,0-14,4640,2832,1808,30,20,10,4462,2726,1736
1,State - JAMMU & KASHMIR (01),Rural,In-Speech,15-59,8887,5484,3403,2267,2067,200,4279,1807,2472
1,State - JAMMU & KASHMIR (01),Rural,In-Speech,60+,1324,764,560,233,209,24,840,367,473
1,State - JAMMU & KASHMIR (01),Rural,In-Movement,Total,47772,28978,18794,8336,7544,792,31589,15989,15600
1,State - JAMMU & KASHMIR (01),Rural,In-Movement,0-14,6793,4004,2789,53,31,22,6588,3894,2694
1,State - JAMMU & KASHMIR (01),Rural,In-Movement,15-59,28794,17907,10887,7036,6352,684,15606,7320,8286
1,State - JAMMU & KASHMIR (01),Rural,In-Movement,60+,12154,7050,5104,1244,1159,85,9368,4761,4607
1,State - JAMMU & KASHMIR (01),Rural,In-Movement,Age not stated,31,17,14,3,2,1,27,14,13
1,State - JAMMU & KASHMIR (01),Rural,Mental-Retardation,Total,12214,7121,5093,1313,1156,157,9183,4881,4302
1,State - JAMMU & KASHMIR (01),Rural,Mental-Retardation,0-14,2967,1691,1276,20,14,6,2873,1637,1236
1,State - JAMMU & KASHMIR (01),Rural,Mental-Retardation,15-59,8135,4823,3312,1172,1033,139,5470,2853,2617
1,State - JAMMU & KASHMIR (01),Rural,Mental-Retardation,60+,1108,606,502,121,109,12,837,390,447
1,State - JAMMU & KASHMIR (01),Rural,Mental-Illness,Total,11581,6447,5134,1574,1405,169,7955,3855,4100
1,State - JAMMU & KASHMIR (01),Rural,Mental-Illness,0-14,1776,993,783,11,6,5,1732,969,763
1,State - JAMMU & KASHMIR (01),Rural,Mental-Illness,15-59,8115,4577,3538,1360,1218,142,4929,2321,2608
1,State - JAMMU & KASHMIR (01),Rural,Mental-Illness,60+,1679,871,808,202,180,22,1285,560,725
1,State - JAMMU & KASHMIR (01),Rural,Any-Other,Total,49399,27069,22330,9660,8603,1057,30382,13150,17232
1,State - JAMMU & KASHMIR (01),Rural,Any-Other,0-14,12482,6687,5795,143,89,54,11960,6398,5562
1,State - JAMMU & KASHMIR (01),Rural,Any-Other,15-59,29107,16341,12766,8381,7498,883,12982,4510,8472
1,State - JAMMU & KASHMIR (01),Rural,Any-Other,60+,7731,3994,3737,1123,1005,118,5383,2211,3172
1,State - JAMMU & KASHMIR (01),Rural,Any-Other,Age not stated,79,47,32,13,11,2,57,31,26
1,State - JAMMU & KASHMIR (01),Rural,Multiple-Disability,Total,36083,19961,16122,3126,2790,336,28652,14435,14217
1,State - JAMMU & KASHMIR (01),Rural,Multiple-Disability,0-14,7042,4044,2998,42,29,13,6842,3930,2912
1,State - JAMMU & KASHMIR (01),Rural,Multiple-Disability,15-59,16531,9574,6957,2262,2035,227,11169,5583,5586
1,State - JAMMU & KASHMIR (01),Rural,Multiple-Disability,60+,12488,6336,6152,819,723,96,10622,4918,5704
1,State - JAMMU & KASHMIR (01),Urban,Total,Total,87201,49942,37259,22244,20051,2193,57038,25316,31722
1,State - JAMMU & KASHMIR (01),Urban,Total,0-14,14728,8169,6559,185,128,57,14088,7794,6294
1,State - JAMMU & KASHMIR (01),Urban,Total,15-59,54144,32569,21575,19793,17833,1960,28186,11250,16936
1,State - JAMMU & KASHMIR (01),Urban,Total,60+,18220,9131,9089,2226,2053,173,14706,6244,8462
1,State - JAMMU & KASHMIR (01),Urban,Total,Age not stated,109,73,36,40,37,3,58,28,30
1,State - JAMMU & KASHMIR (01),Urban,In-Seeing,Total,16306,8637,7669,3898,3444,454,10881,4384,6497
1,State - JAMMU & KASHMIR (01),Urban,In-Seeing,0-14,2954,1597,1357,40,28,12,2834,1519,1315
1,State - JAMMU & KASHMIR (01),Urban,In-Seeing,15-59,9045,4947,4098,3303,2894,409,4649,1517,3132
1,State - JAMMU & KASHMIR (01),Urban,In-Seeing,60+,4294,2086,2208,553,520,33,3387,1343,2044
1,State - JAMMU & KASHMIR (01),Urban,In-Hearing,Total,22207,13543,8664,8151,7523,628,12299,4989,7310
1,State - JAMMU & KASHMIR (01),Urban,In-Hearing,0-14,4021,2166,1855,66,41,25,3821,2060,1761
1,State - JAMMU & KASHMIR (01),Urban,In-Hearing,15-59,14171,9415,4756,7503,6942,561,5343,1709,3634
1,State - JAMMU & KASHMIR (01),Urban,In-Hearing,60+,3974,1930,2044,558,517,41,3122,1214,1908
1,State - JAMMU & KASHMIR (01),Urban,In-Hearing,Age not stated,41,32,9,24,23,1,13,6,7
1,State - JAMMU & KASHMIR (01),Urban,In-Speech,Total,3809,2255,1554,937,847,90,2539,1190,1349
1,State - JAMMU & KASHMIR (01),Urban,In-Speech,0-14,894,508,386,10,7,3,851,481,370
1,State - JAMMU & KASHMIR (01),Urban,In-Speech,15-59,2535,1529,1006,849,768,81,1411,579,832
1,State - JAMMU & KASHMIR (01),Urban,In-Speech,60+,376,215,161,77,71,6,275,129,146
1,State - JAMMU & KASHMIR (01),Urban,In-Movement,Total,10365,6167,4198,2234,1997,237,7225,3556,3669
1,State - JAMMU & KASHMIR (01),Urban,In-Movement,0-14,1061,620,441,8,7,1,1037,605,432
1,State - JAMMU & KASHMIR (01),Urban,In-Movement,15-59,6384,3988,2396,1943,1733,210,3718,1763,1955
1,State - JAMMU & KASHMIR (01),Urban,In-Movement,60+,2911,1556,1355,279,254,25,2465,1188,1277
1,State - JAMMU & KASHMIR (01),Urban,Mental-Retardation,Total,4510,2677,1833,685,606,79,3561,1912,1649
1,State - JAMMU & KASHMIR (01),Urban,Mental-Retardation,0-14,890,509,381,8,6,2,865,495,370
1,State - JAMMU & KASHMIR (01),Urban,Mental-Retardation,15-59,3201,1931,1270,609,540,69,2371,1258,1113
1,State - JAMMU & KASHMIR (01),Urban,Mental-Retardation,60+,415,235,180,68,60,8,323,158,165
1,State - JAMMU & KASHMIR (01),Urban,Mental-Illness,Total,4088,2363,1725,607,543,64,3006,1577,1429
1,State - JAMMU & KASHMIR (01),Urban,Mental-Illness,15-59,3072,1800,1272,559,501,58,2080,1088,992
1,State - JAMMU & KASHMIR (01),Urban,Mental-Illness,60+,540,280,260,45,39,6,464,217,247
1,State - JAMMU & KASHMIR (01),Urban,Any-Other,Total,17558,9783,7775,4789,4230,559,10719,4417,6302
1,State - JAMMU & KASHMIR (01),Urban,Any-Other,0-14,3162,1738,1424,41,29,12,2972,1632,1340
1,State - JAMMU & KASHMIR (01),Urban,Any-Other,15-59,11554,6556,4998,4297,3789,508,5601,1854,3747
1,State - JAMMU & KASHMIR (01),Urban,Any-Other,60+,2813,1468,1345,442,404,38,2128,919,1209
1,State - JAMMU & KASHMIR (01),Urban,Any-Other,Age not stated,29,21,8,9,8,1,18,12,6
1,State - JAMMU & KASHMIR (01),Urban,Multiple-Disability,Total,8358,4517,3841,943,861,82,6808,3291,3517
1,State - JAMMU & KASHMIR (01),Urban,Multiple-Disability,0-14,1275,752,523,9,7,2,1249,732,517
1,State - JAMMU & KASHMIR (01),Urban,Multiple-Disability,15-59,4182,2403,1779,730,666,64,3013,1482,1531
1,State - JAMMU & KASHMIR (01),Urban,Multiple-Disability,60+,2897,1361,1536,204,188,16,2542,1076,1466
2,State - HIMACHAL PRADESH (02),Total,Total,Total,155316,86321,68995,38519,28074,10445,86399,42590,43809
2,State - HIMACHAL PRADESH (02),Total,Total,0-14,21464,12125,9339,277,156,121,19932,11289,8643
2,State - HIMACHAL PRADESH (02),Total,Total,15-59,84847,49932,34915,30817,22671,8146,33679,16776,16903
2,State - HIMACHAL PRADESH (02),Total,Total,60+,48776,24148,24628,7377,5211,2166,32640,14464,18176
2,State - HIMACHAL PRADESH (02),Total,Total,Age not stated,229,116,113,48,36,12,148,61,87
2,State - HIMACHAL PRADESH (02),Total,In-Seeing,Total,26076,13382,12694,6645,4694,1951,14016,6086,7930
2,State - HIMACHAL PRADESH (02),Total,In-Seeing,0-14,3031,1703,1328,28,20,8,2784,1565,1219
2,State - HIMACHAL PRADESH (02),Total,In-Seeing,15-59,11368,6318,5050,4777,3412,1365,3691,1488,2203
2,State - HIMACHAL PRADESH (02),Total,In-Seeing,60+,11647,5346,6301,1831,1256,575,7525,3027,4498
2,State - HIMACHAL PRADESH (02),Total,In-Seeing,Age not stated,30,15,15,9,6,3,16,6,10
2,State - HIMACHAL PRADESH (02),Total,In-Hearing,Total,26700,14243,12457,7733,5698,2035,13051,5668,7383
2,State - HIMACHAL PRADESH (02),Total,In-Hearing,0-14,3237,1700,1537,62,32,30,2933,1547,1386
2,State - HIMACHAL PRADESH (02),Total,In-Hearing,15-59,12689,7078,5611,5754,4259,1495,3546,1289,2257
2,State - HIMACHAL PRADESH (02),Total,In-Hearing,60+,10740,5448,5292,1913,1403,510,6548,2823,3725
2,State - HIMACHAL PRADESH (02),Total,In-Speech,Total,8278,4879,3399,2289,1666,623,4302,2298,2004
2,State - HIMACHAL PRADESH (02),Total,In-Speech,0-14,1839,1094,745,29,20,9,1688,993,695
2,State - HIMACHAL PRADESH (02),Total,In-Speech,15-59,5116,3017,2099,1957,1440,517,1863,905,958
2,State - HIMACHAL PRADESH (02),Total,In-Speech,60+,1311,764,547,301,205,96,743,398,345
2,State - HIMACHAL PRADESH (02),Total,In-Speech,Age not stated,12,4,8,2,1,1,8,2,6
2,State - HIMACHAL PRADESH (02),Total,In-Movement,Total,32550,19447,13103,8463,6549,1914,18015,9391,8624
2,State - HIMACHAL PRADESH (02),Total,In-Movement,0-14,2255,1404,851,20,15,5,2094,1310,784
2,State - HIMACHAL PRADESH (02),Total,In-Movement,15-59,18891,12194,6697,7115,5561,1554,7584,4125,3459
2,State - HIMACHAL PRADESH (02),Total,In-Movement,60+,11370,5829,5541,1317,963,354,8317,3948,4369
2,State - HIMACHAL PRADESH (02),Total,In-Movement,Age not stated,34,20,14,11,10,1,20,8,12
2,State - HIMACHAL PRADESH (02),Total,Mental-Retardation,Total,8986,5310,3676,1218,907,311,6153,3501,2652
2,State - HIMACHAL PRADESH (02),Total,Mental-Retardation,0-14,1918,1088,830,15,6,9,1810,1034,776
2,State - HIMACHAL PRADESH (02),Total,Mental-Retardation,15-59,6390,3857,2533,1095,821,274,3893,2247,1646
2,State - HIMACHAL PRADESH (02),Total,Mental-Retardation,60+,668,361,307,106,79,27,443,218,225
2,State - HIMACHAL PRADESH (02),Total,Mental-Retardation,Age not stated,10,4,6,2,1,1,7,2,5
2,State - HIMACHAL PRADESH (02),Total,Mental-Illness,Total,5166,3030,2136,663,489,174,3572,2021,1551
2,State - HIMACHAL PRADESH (02),Total,Mental-Illness,15-59,3963,2396,1567,587,432,155,2556,1503,1053
2,State - HIMACHAL PRADESH (02),Total,Mental-Illness,60+,751,389,362,75,56,19,578,281,297
2,State - HIMACHAL PRADESH (02),Total,Any-Other,Total,29024,15964,13060,9429,6624,2805,12950,6158,6792
2,State - HIMACHAL PRADESH (02),Total,Any-Other,0-14,5769,3145,2624,97,47,50,5317,2903,2414
2,State - HIMACHAL PRADESH (02),Total,Any-Other,15-59,18675,10445,8230,8152,5774,2378,5304,2187,3117
2,State - HIMACHAL PRADESH (02),Total,Any-Other,60+,4493,2331,2162,1163,792,371,2273,1042,1231
2,State - HIMACHAL PRADESH (02),Total,Any-Other,Age not stated,87,43,44,17,11,6,56,26,30
2,State - HIMACHAL PRADESH (02),Total,Multiple-Disability,Total,18536,10066,8470,2079,1447,632,14340,7467,6873
2,State - HIMACHAL PRADESH (02),Total,Multiple-Disability,0-14,2969,1749,1220,25,15,10,2873,1702,1171
2,State - HIMACHAL PRADESH (02),Total,Multiple-Disability,15-59,7755,4627,3128,1380,972,408,5242,3032,2210
2,State - HIMACHAL PRADESH (02),Total,Multiple-Disability,60+,7796,3680,4116,671,457,214,6213,2727,3486
2,State - HIMACHAL PRADESH (02),Rural,Total,Total,142665,78963,63702,34735,24978,9757,78159,38766,39393
2,State - HIMACHAL PRADESH (02),Rural,Total,0-14,19423,10963,8460,254,140,114,17930,10152,7778
2,State - HIMACHAL PRADESH (02),Rural,Total,15-59,76645,44981,31664,27389,19866,7523,29420,14990,14430
2,State - HIMACHAL PRADESH (02),Rural,Total,60+,46377,22907,23470,7047,4939,2108,30667,13564,17103
2,State - HIMACHAL PRADESH (02),Rural,Total,Age not stated,220,112,108,45,33,12,142,60,82
2,State - HIMACHAL PRADESH (02),Rural,In-Seeing,Total,24140,12291,11849,6046,4223,1823,12804,5550,7254
2,State - HIMACHAL PRADESH (02),Rural,In-Seeing,0-14,2739,1530,1209,23,15,8,2499,1398,1101
2,State - HIMACHAL PRADESH (02),Rural,In-Seeing,15-59,10182,5621,4561,4245,2992,1253,3137,1279,1858
2,State - HIMACHAL PRADESH (02),Rural,In-Seeing,60+,11191,5126,6065,1770,1211,559,7153,2867,4286
2,State - HIMACHAL PRADESH (02),Rural,In-Seeing,Age not stated,28,14,14,8,5,3,15,6,9
2,State - HIMACHAL PRADESH (02),Rural,In-Hearing,Total,23939,12653,11286,6707,4820,1887,11416,5023,6393
2,State - HIMACHAL PRADESH (02),Rural,In-Hearing,0-14,2767,1449,1318,53,27,26,2478,1304,1174
2,State - HIMACHAL PRADESH (02),Rural,In-Hearing,15-59,10965,6027,4938,4820,3456,1364,2822,1084,1738
2,State - HIMACHAL PRADESH (02),Rural,In-Hearing,60+,10175,5162,5013,1831,1334,497,6093,2627,3466
2,State - HIMACHAL PRADESH (02),Rural,In-Speech,Total,7548,4463,3085,2090,1490,600,3801,2075,1726
2,State - HIMACHAL PRADESH (02),Rural,In-Speech,0-14,1683,1027,656,28,19,9,1533,927,606
2,State - HIMACHAL PRADESH (02),Rural,In-Speech,15-59,4617,2720,1897,1770,1275,495,1577,789,788
2,State - HIMACHAL PRADESH (02),Rural,In-Speech,60+,1236,712,524,290,195,95,683,357,326
2,State - HIMACHAL PRADESH (02),Rural,In-Speech,Age not stated,12,4,8,2,1,1,8,2,6
2,State - HIMACHAL PRADESH (02),Rural,In-Movement,Total,30427,18140,12287,7739,5952,1787,16718,8765,7953
2,State - HIMACHAL PRADESH (02),Rural,In-Movement,0-14,2115,1316,799,20,15,5,1955,1223,732
2,State - HIMACHAL PRADESH (02),Rural,In-Movement,15-59,17530,11291,6239,6453,5022,1431,6974,3832,3142
2,State - HIMACHAL PRADESH (02),Rural,In-Movement,60+,10749,5513,5236,1255,905,350,7770,3702,4068
2,State - HIMACHAL PRADESH (02),Rural,In-Movement,Age not stated,33,20,13,11,10,1,19,8,11
2,State - HIMACHAL PRADESH (02),Rural,Mental-Retardation,Total,8127,4809,3318,1085,795,290,5456,3128,2328
2,State - HIMACHAL PRADESH (02),Rural,Mental-Retardation,0-14,1724,976,748,13,6,7,1620,924,696
2,State - HIMACHAL PRADESH (02),Rural,Mental-Retardation,15-59,5784,3499,2285,971,715,256,3436,2009,1427
2,State - HIMACHAL PRADESH (02),Rural,Mental-Retardation,60+,610,330,280,99,73,26,394,193,201
2,State - HIMACHAL PRADESH (02),Rural,Mental-Retardation,Age not stated,9,4,5,2,1,1,6,2,4
2,State - HIMACHAL PRADESH (02),Rural,Mental-Illness,Total,4764,2769,1995,624,457,167,3227,1808,1419
2,State - HIMACHAL PRADESH (02),Rural,Mental-Illness,15-59,3677,2207,1470,555,406,149,2318,1354,964
2,State - HIMACHAL PRADESH (02),Rural,Mental-Illness,60+,680,340,340,68,50,18,516,240,276
2,State - HIMACHAL PRADESH (02),Rural,Any-Other,Total,26252,14430,11822,8495,5901,2594,11309,5480,5829
2,State - HIMACHAL PRADESH (02),Rural,Any-Other,0-14,5259,2860,2399,92,43,49,4817,2624,2193
2,State - HIMACHAL PRADESH (02),Rural,Any-Other,15-59,16717,9355,7362,7302,5115,2187,4371,1876,2495
2,State - HIMACHAL PRADESH (02),Rural,Any-Other,60+,4190,2173,2017,1085,733,352,2065,954,1111
2,State - HIMACHAL PRADESH (02),Rural,Any-Other,Age not stated,86,42,44,16,10,6,56,26,30
2,State - HIMACHAL PRADESH (02),Rural,Multiple-Disability,Total,17468,9408,8060,1949,1340,609,13428,6937,6491
2,State - HIMACHAL PRADESH (02),Rural,Multiple-Disability,0-14,2734,1586,1148,24,14,10,2639,1540,1099
2,State - HIMACHAL PRADESH (02),Rural,Multiple-Disability,15-59,7173,4261,2912,1273,885,388,4785,2767,2018
2,State - HIMACHAL PRADESH (02),Rural,Multiple-Disability,60+,7546,3551,3995,649,438,211,5993,2624,3369
2,State - HIMACHAL PRADESH (02),Urban,Total,Total,12651,7358,5293,3784,3096,688,8240,3824,4416
2,State - HIMACHAL PRADESH (02),Urban,Total,0-14,2041,1162,879,23,16,7,2002,1137,865
2,State - HIMACHAL PRADESH (02),Urban,Total,15-59,8202,4951,3251,3428,2805,623,4259,1786,2473
2,State - HIMACHAL PRADESH (02),Urban,Total,60+,2399,1241,1158,330,272,58,1973,900,1073
2,State - HIMACHAL PRADESH (02),Urban,In-Seeing,Total,1936,1091,845,599,471,128,1212,536,676
2,State - HIMACHAL PRADESH (02),Urban,In-Seeing,15-59,1186,697,489,532,420,112,554,209,345
2,State - HIMACHAL PRADESH (02),Urban,In-Seeing,60+,456,220,236,61,45,16,372,160,212
2,State - HIMACHAL PRADESH (02),Urban,In-Hearing,Total,2761,1590,1171,1026,878,148,1635,645,990
2,State - HIMACHAL PRADESH (02),Urban,In-Hearing,0-14,470,251,219,9,5,4,455,243,212
2,State - HIMACHAL PRADESH (02),Urban,In-Hearing,15-59,1724,1051,673,934,803,131,724,205,519
2,State - HIMACHAL PRADESH (02),Urban,In-Hearing,60+,565,286,279,82,69,13,455,196,259
2,State - HIMACHAL PRADESH (02),Urban,In-Speech,Total,730,416,314,199,176,23,501,223,278
2,State - HIMACHAL PRADESH (02),Urban,In-Speech,15-59,499,297,202,187,165,22,286,116,170
2,State - HIMACHAL PRADESH (02),Urban,In-Speech,60+,75,52,23,11,10,1,60,41,19
2,State - HIMACHAL PRADESH (02),Urban,In-Movement,Total,2123,1307,816,724,597,127,1297,626,671
2,State - HIMACHAL PRADESH (02),Urban,In-Movement,15-59,1361,903,458,662,539,123,610,293,317
2,State - HIMACHAL PRADESH (02),Urban,In-Movement,60+,621,316,305,62,58,4,547,246,301
2,State - HIMACHAL PRADESH (02),Urban,Mental-Retardation,Total,859,501,358,133,112,21,697,373,324
2,State - HIMACHAL PRADESH (02),Urban,Mental-Retardation,15-59,606,358,248,124,106,18,457,238,219
2,State - HIMACHAL PRADESH (02),Urban,Mental-Retardation,60+,58,31,27,7,6,1,49,25,24
2,State - HIMACHAL PRADESH (02),Urban,Mental-Illness,Total,402,261,141,39,32,7,345,213,132
2,State - HIMACHAL PRADESH (02),Urban,Mental-Illness,15-59,286,189,97,32,26,6,238,149,89
2,State - HIMACHAL PRADESH (02),Urban,Mental-Illness,60+,71,49,22,7,6,1,62,41,21
2,State - HIMACHAL PRADESH (02),Urban,Any-Other,Total,2772,1534,1238,934,723,211,1641,678,963
2,State - HIMACHAL PRADESH (02),Urban,Any-Other,0-14,510,285,225,5,4,1,500,279,221
2,State - HIMACHAL PRADESH (02),Urban,Any-Other,15-59,1958,1090,868,850,659,191,933,311,622
2,State - HIMACHAL PRADESH (02),Urban,Any-Other,60+,303,158,145,78,59,19,208,88,120
2,State - HIMACHAL PRADESH (02),Urban,Multiple-Disability,Total,1068,658,410,130,107,23,912,530,382
2,State - HIMACHAL PRADESH (02),Urban,Multiple-Disability,15-59,582,366,216,107,87,20,457,265,192
2,State - HIMACHAL PRADESH (02),Urban,Multiple-Disability,60+,250,129,121,22,19,3,220,103,117
3,State - PUNJAB (03),Total,Total,Total,654063,379551,274512,176423,151537,24886,437743,202928,234815
3,State - PUNJAB (03),Total,Total,0-14,116426,66941,49485,2213,1519,694,111668,63989,47679
3,State - PUNJAB (03),Total,Total,15-59,414826,245691,169135,151251,129892,21359,231516,95498,136018
3,State - PUNJAB (03),Total,Total,60+,121552,66229,55323,22669,19891,2778,93660,43034,50626
3,State - PUNJAB (03),Total,Total,Age not stated,1259,690,569,290,235,55,899,407,492
3,State - PUNJAB (03),Total,In-Seeing,Total,82199,44811,37388,21544,18446,3098,55688,23450,32238
3,State - PUNJAB (03),Total,In-Seeing,0-14,14164,7929,6235,267,196,71,13609,7570,6039
3,State - PUNJAB (03),Total,In-Seeing,15-59,42692,23947,18745,17124,14597,2527,21953,7248,14705
3,State - PUNJAB (03),Total,In-Seeing,60+,25164,12839,12325,4114,3620,494,19995,8572,11423
3,State - PUNJAB (03),Total,In-Seeing,Age not stated,179,96,83,39,33,6,131,60,71
3,State - PUNJAB (03),Total,In-Hearing,Total,146696,78761,67935,44111,36906,7205,92576,36111,56465
3,State - PUNJAB (03),Total,In-Hearing,0-14,31131,17023,14108,807,518,289,29445,16026,13419
3,State - PUNJAB (03),Total,In-Hearing,15-59,88807,48133,40674,37294,31240,6054,43810,12478,31332
3,State - PUNJAB (03),Total,In-Hearing,60+,26451,13440,13011,5931,5086,845,19112,7517,11595
3,State - PUNJAB (03),Total,In-Hearing,Age not stated,307,165,142,79,62,17,209,90,119
3,State - PUNJAB (03),Total,In-Speech,Total,24549,14297,10252,6000,5224,776,17290,8255,9035
